,program_name,program_type_description,address,georeference,lat,lon
592,Coney Island Clinic,Clinic Treatment,"2846 Stillwell Avenue, Brooklyn, NY, 11224-2624",POINT (-73.981745 40.578013),40.578013,-73.981745
593,Transition Management,Transition Management Services,"301 N. Washington Street, Herkimer, NY, 13350",POINT (-74.98748 43.029236),43.029236,-74.98748
594,JBFCS Madeleine Borg Bronx Consultation Center,Clinic Treatment,"750 Astor Avenue, Bronx, NY, 10467-9304",POINT (-73.865331 40.859575),40.859575,-73.865331
595,Samaritan Hospital PROS,Comprehensive PROS with Clinical Treatment,"1801 6th Avenue, Troy, NY, 12180-3478",POINT (-73.686379 42.73149),42.73149,-73.686379
596,Villa of Hope- FTSS Community Psychiatric Support & Treatmet,CFTSS: Community Psychiatric Support and Treatment (CPST),"1099 Jay Street Building J, Rochester, NY, 14611",POINT (-77.650727 43.159364),43.159364,-77.650727
597,Children's Home Of Wyoming Conference Day Treatment,Day Treatment,"1160 Chenango Street, Binghamton, NY, 13901-1653",POINT (-75.885239 42.151719),42.151719,-75.885239
598,SULLVIAN NON MEDICAID C/M,Health Home Non-Medicaid Care Management,"20 Crystal Street, Monticello, NY, 12701",POINT (-74.689383 41.66296),41.66296,-74.689383
599,Multicultural Initiative,Multi-Cultural Initiative,"404 State Route 37, Akwesasne, NY, 13655",POINT (-74.685889 44.978595),44.978595,-74.685889
603,Coordinated Children's Services Mental Health Clinic,Clinic Treatment,"1081 Development Court, Kingston, NY, 12401-1959",POINT (-73.995596 41.947538),41.947538,-73.995596
604,Self Help,Self-Help Programs,"580 White Plains Road, Tarrytown, NY, 10591",POINT (-73.83792 41.062592),41.062592,-73.83792
607,CFTSS: Community Psychiatric Support and Treatment,CFTSS: Community Psychiatric Support and Treatment (CPST),"1507 State Street, Watertown, NY, 13601",POINT (-75.88695 43.968821),43.968821,-75.88695
608,Family Support Services,Family Peer Support Services - Children & Family,"5520 Jackson Street, Lowville, NY, 13367",POINT (-75.486036 43.782933),43.782933,-75.486036
612,Schoharie County Mental Health Center,Clinic Treatment,"113 Park Place, Schoharie, NY, 12157",POINT (-74.311001 42.702894),42.702894,-74.311001
616,Staten Island MH Society CHAIT Clinic of RUMC,Clinic Treatment,"669 Castleton Avenue, Staten Island, NY, 10301-2028",POINT (-74.103752 40.634696),40.634696,-74.103752
617,The Healing Connection,Partial Hospitalization,"1320 University Avenue, Rochester, NY, 14607-1622",POINT (-77.567222 43.150544),43.150544,-77.567222
618,Equinox Outpatient Clinic,Clinic Treatment,"500 Central Avenue, Albany, NY, 12206-2213",POINT (-73.778383 42.669911),42.669911,-73.778383
619,Bensonhurst ACT,Assertive Community Treatment (ACT),"8620 18th Avenue, Brooklyn, NY, 11214-3702",POINT (-74.003184 40.606765),40.606765,-74.003184
622,RCPC Health Home C&Y Care Managment Sullivan,Health Home Care Management,"125 Buckly Street, Liberty, NY, 12745",POINT (-74.754322 41.805488),41.805488,-74.754322
624,MHA Westchester - Non Medicaid CC,Non-Medicaid Care Coordination,"580 White Plains Road, Tarrytown, NY, 10591-5198",POINT (-73.83792 41.062592),41.062592,-73.83792
626,Mental Health Law Project,Advocacy/Support Services,"1757 Veterans Highway, Islandia, NY, 11749",POINT (-73.180131 40.805351),40.805351,-73.180131
628,Monsignor Carr Institute,Clinic Treatment,"76 West Humboldt Parkway, Buffalo, NY, 14214-2605",POINT (-78.854072 42.930028),42.930028,-78.854072
629,Peer Advocacy,Advocacy/Support Services,"2037 Utica Avenue, Brooklyn, NY, 11234",POINT (-73.927223 40.622127),40.622127,-73.927223
630,Family TIES,Home Based Crisis Intervention,"15-17 Hopper St, Utica, NY, 13501",POINT (-75.233329 43.098286),43.098286,-75.233329
631,Jamaica Hospital Medical Center CPEP,CPEP Crisis Intervention,"8900 Van Wyck Expressway, Jamaica, NY, 11418-2897",POINT (-73.815742 40.700404),40.700404,-73.815742
634,Community Psychiatric Support and Treatment - Genovese,CFTSS: Community Psychiatric Support and Treatment (CPST),"89-30 161st Street, Jamaica, NY, 11432",POINT (-73.799479 40.70558),40.70558,-73.799479
635,Psychosocial Club,Psychosocial Club,"54 Bay Street, Glens Falls, NY, 12801",POINT (-73.646946 43.312636),43.312636,-73.646946
636,Union Settlement,CFTSS: Other Licensed Practitioner (OLP),"237 104th St, New York, NY, 10029",POINT (-73.944497 40.789779),40.789779,-73.944497
637,St. Joseph's Medical Center - St. Vincent's Westchester Div.,Inpatient Psychiatric Unit of a General Hospital,"275 North Street, Harrison, NY, 10528-1524",POINT (-73.71001 40.988342),40.988342,-73.71001
639,Parent to Parent,Family Peer Support Services - Children & Family,"790 Park Avenue, Huntington, NY, 11743",POINT (-73.391764 40.85724),40.85724,-73.391764
641,Family Peer Support Services,CFTSS: Family Peer Support Services (FPSS),"6395 Old Niagara Rd, Lockport, NY, 14094",POINT (-78.679576 43.18956),43.18956,-78.679576
644,South Beach Seaview Academy,Day Treatment,"777 Seaview Avenue, Staten Island, NY, 10305-3409",POINT (-74.07829 40.579599),40.579599,-74.07829
645,TIOGA WARM LINE PROGRAM,Advocacy/Support Services,"175 Main Street, Owego, NY, 13827",POINT (-76.262572 42.103558),42.103558,-76.262572
646,Skilled Nursing Facility Enhanced Support Program,Nursing Home Support,"600 East 125th Street, Wards Island, NY, 10035",POINT (-73.931309 40.801793),40.801793,-73.931309
652,Mobile Crisis / Respite,Respite Services,"11-21 Broadway, Gloversville, NY, 12078",POINT (-74.345287 43.048646),43.048646,-74.345287
653,Counseling & Psychiatric Services,Clinic Treatment,"880 East 2nd Street, Jamestown, NY, 14701-3824",POINT (-79.225137 42.10504),42.10504,-79.225137
657,RSS - HH Non-Medicaid CM,Health Home Non-Medicaid Care Management,"9 River Street, Oneonta, NY, 13820",POINT (-75.064731 42.448599),42.448599,-75.064731
658,Transition Management Services,Transition Management Services,"16-20 Union Street, Middletown, NY, 10940",POINT (-74.422127 41.447102),41.447102,-74.422127
660,CFTSS:  Community Psychiatric Support and Treatment (CPST),CFTSS: Community Psychiatric Support and Treatment (CPST),"7513 Court Street, Elizabethtown, NY, 12932-0008",POINT (-73.597912 44.212689),44.212689,-73.597912
663,Advocacy (Stipends),Advocacy/Support Services,"354 Central Avenue, Albany, NY, 12206",POINT (-73.774191 42.666242),42.666242,-73.774191
665,Mental Health Association of Rockland County Inc,CFTSS: Family Peer Support Services (FPSS),"140 Route 303, Valley Cottage, NY, 10989",POINT (-73.94233 41.12062),41.12062,-73.94233
670,Achieve Behavioral Health CFTSS/CMHRS,CFTSS: Children's Mental Health Rehabilitation Services,"404 Route 59, Airmont, NY, 10952-3429",POINT (-74.090939 41.110227),41.110227,-74.090939
671,CFTSS: Other Licensed Practitioner,CFTSS: Other Licensed Practitioner (OLP),"1654 West Onondaga Street, Syracuse, NY, 13204",POINT (-76.181615 43.033696),43.033696,-76.181615
672,Rome Clinic,Clinic Treatment,"227 West Dominick Street, Rome, NY, 13440-5859",POINT (-75.46043 43.212141),43.212141,-75.46043
674,Community Based Treatment & Services,CFTSS: Youth Peer Support (YPS),"1182 Chenango St, Binghamton, NY, 13901",POINT (-75.884749 42.152517),42.152517,-75.884749
675,Wellness Supported Education,Supported Education,"300 Aaron Court, Kingston, NY, 12402",POINT (-74.015047 41.935186),41.935186,-74.015047
676,Otsego County Mental Health Clinic,Clinic Treatment,"242 Main Street, Oneonta, NY, 13820-2576",POINT (-75.061951 42.453939),42.453939,-75.061951
679,Transportation,Transportation,"2601 Ocean Parkway, Brooklyn, NY, 11235",POINT (-73.966285 40.58494),40.58494,-73.966285
681,NYC-HHC Queens Hospital Center ACT II,Assertive Community Treatment (ACT),"82-68 164th Street, Jamaica, NY, 11432-1121",POINT (-73.803431 40.71698),40.71698,-73.803431
682,Health  Home Care Management C&Y,Health Home Care Management,"158 East 35th Street, New York, NY, 10016",POINT (-73.97822 40.746628),40.746628,-73.97822
684,Huntington ACT Team,Assertive Community Treatment (ACT),"55 Horizon Drive, Huntington, NY, 11743-4436",POINT (-73.421788 40.858085),40.858085,-73.421788
686,ICM - ICA Multicultural,Advocacy/Support Services,"1 Farmingdale Road, West Babylon, NY, 11704",POINT (-73.345523 40.704835),40.704835,-73.345523
688,Garnet Health Medical Center Inpatient Psychiatric Unit,Inpatient Psychiatric Unit of a General Hospital,"707 East Main Street, Middletown, NY, 10940-2650",POINT (-74.369415 41.439962),41.439962,-74.369415
689,Astor Day Treatment Program - E. Tremont,Day Treatment,"516 East Tremont Avenue, Bronx, NY, 10457-4514",POINT (-73.896517 40.846724),40.846724,-73.896517
690,Harlem Hospital Center CPEP,CPEP Crisis Intervention,"506 Lenox Avenue, New York, NY, 10037-2420",POINT (-73.940495 40.814482),40.814482,-73.940495
691,CFTSS: Other Licensed Practitioner (OLP),CFTSS: Other Licensed Practitioner (OLP),"858 E.29th Street, Brooklyn, NY, 11210",POINT (-73.948503 40.630015),40.630015,-73.948503
693,MHA of Westchester in White Plains,Clinic Treatment,"29 Sterling Avenue, White Plains, NY, 10606-3001",POINT (-73.774595 41.021251),41.021251,-73.774595
694,Goodwill Seamark PROS,Comprehensive PROS with Clinical Treatment,"261 Schenectady Avenue, Brooklyn, NY, 11213-4026",POINT (-73.933818 40.669677),40.669677,-73.933818
695,Families First in Essex County Inc.,CFTSS: Psychosocial Rehabilitation (PSR),"196 Water Street, Elizabethtown, NY, 12932",POINT (-73.59303 44.217394),44.217394,-73.59303
696,Golden Club,Psychosocial Club,"36 Cady Hill Blvd, Saratoga Springs, NY, 12866",POINT (-73.822464 43.065307),43.065307,-73.822464
697,School Based Mental Health Direct Support,School Mental Health Program,"421 Montgomery Street = 7th Floor, Syracuse, NY, 13202",POINT (-76.148805 43.045777),43.045777,-76.148805
698,Advocacy,Advocacy/Support Services,"505 8th Avenue, New York, NY, 10018-4541",POINT (-73.992878 40.753009),40.753009,-73.992878
699,Chautauqua/Cattaraugus Peer Respite Center,Advocacy/Support Services,"532 East 2nd Street, Jamestown, NY, 14701",POINT (-79.233986 42.097777),42.097777,-79.233986
700,Advocacy Services,Advocacy/Support Services,"113 Park Place, Schoharie, NY, 12157",POINT (-74.311001 42.702894),42.702894,-74.311001
703,Health Home Non-Medicaid Care Management - Chemung,Health Home Non-Medicaid Care Management,"100 Washington Street, Elmira, NY, 14901",POINT (-76.795313 42.091164),42.091164,-76.795313
704,Adult Recovery Services,Psychosocial Club,"15-17 Hopper Street, Utica, NY, 13501-3507",POINT (-75.233329 43.098286),43.098286,-75.233329
705,Family Peer Support Services - Genovese,CFTSS: Family Peer Support Services (FPSS),"89-30 161st Street, Jamaica, NY, 11432",POINT (-73.799479 40.70558),40.70558,-73.799479
708,Psychosocial Rehabilitation,CFTSS: Psychosocial Rehabilitation (PSR),"191 Bethpage Sweethollow Road, Old Bethpage, NY, 11804",POINT (-73.442404 40.761497),40.761497,-73.442404
710,NYCCC Care Management Agency- Bronx,Health Home Care Management,"1300 Waters Place, Bronx, NY, 10461",POINT (-73.840795 40.845275),40.845275,-73.840795
711,Putnam F&C - Non Medicaid CC,Non-Medicaid Care Coordination,"1816 Route 6, Carmel, NY, 10512",POINT (-73.673186 41.417992),41.417992,-73.673186
714,Samaritan Daytop Village ACT Team,Assertive Community Treatment (ACT),"988 Myrtle Avenue, Brooklyn, NY, 11206-6603",POINT (-73.941807 40.696233),40.696233,-73.941807
716,Bridger,Transition Management Services,"239 Golden Hill Lane, Kingston, NY, 12401",POINT (-74.018902 41.915746),41.915746,-74.018902
717,Assisted Competitive Employment,Assisted Competitive Employment,"3899 Oneida Street, New Hartford, NY, 13413",POINT (-75.272189 43.052022),43.052022,-75.272189
718,Psychiatric Inpatient Unit,State Psychiatric Center Inpatient,"620 Madison Street, Syracuse, NY, 13210",POINT (-76.139777 43.045384),43.045384,-76.139777
720,Ongoing Integrated Supported Employment,Ongoing Integrated Supported Employment Services,"252 W. 29th Street, New York, NY, 10001",POINT (-73.995198 40.748813),40.748813,-73.995198
722,Heights Hill Clinic,Clinic Treatment,"25 Flatbush Avenue, Brooklyn, NY, 11217-1101",POINT (-73.980183 40.687916),40.687916,-73.980183
723,Alternative to Incarceration/Crisis Stabilization Team,Crisis  Intervention,"112 East Post Road, White Plains, NY, 10601",POINT (-73.766405 41.028438),41.028438,-73.766405
725,Children's Crisis Outreach Program,Crisis  Intervention,"127 West State Street, Ithaca, NY, 14850",POINT (-76.5001 42.439489),42.439489,-76.5001
726,Consumer Officer,Advocacy/Support Services,"42-09 28th Street, Long Island City, NY, 11101",POINT (-73.939294 40.749488),40.749488,-73.939294
732,St. Mary's Hospital Montgomery County Adult MH Clinic,Clinic Treatment,"427 Guy Park Avenue, Amsterdam, NY, 12010-1003",POINT (-74.216041 42.953648),42.953648,-74.216041
733,OnTrackNY Southern Tier,Clinic Treatment,"114 Clinton Street, Binghamton, NY, 13905-2212",POINT (-75.922831 42.105293),42.105293,-75.922831
734,CFTSS: Community Psychiatric Support and Treatment,CFTSS: Community Psychiatric Support and Treatment (CPST),"31 6th Street, Malone, NY, 12953",POINT (-74.290401 44.860752),44.860752,-74.290401
735,LIJ Adult Partial Hospitalization Program,Partial Hospitalization,"75-59 263rd Street, Glen Oaks, NY, 11004-1150",POINT (-73.711757 40.749741),40.749741,-73.711757
736,Children's Community Support Program,CFTSS: Other Licensed Practitioner (OLP),"1045 James Street, Syracuse, NY, 13203",POINT (-76.132654 43.060118),43.060118,-76.132654
737,Health Home Care Management,Health Home Non-Medicaid Care Management,"115-02 Ocean Promenade, Rockaway Park, NY, 11694",POINT (-73.835499 40.577971),40.577971,-73.835499
738,Mobile Transitional Support,Crisis  Intervention,"212 Laurens Street, Olean, NY, 14760",POINT (-78.432067 42.079481),42.079481,-78.432067
739,BHSN CFTSS Mobile Crisis Intervention,CFTSS: Mobile Crisis Intervention (CI),"2155 State Route 22b, Morrisonville, NY, 12962",POINT (-73.535331 44.696168),44.696168,-73.535331
741,CFTSS CPST,CFTSS: Community Psychiatric Support and Treatment (CPST),"377 Oak St, Garden City, NY, 11530",POINT (-73.608059 40.725589),40.725589,-73.608059
742,Catholic Charities Syracuse - HH Non- Med CM- Cortland Co.,Health Home Non-Medicaid Care Management,"33-35 Central Avenue, Cortland, NY, 13045",POINT (-76.178771 42.600136),42.600136,-76.178771
743,Chautauqua County MHS - HH Non- Med CM,Health Home Non-Medicaid Care Management,"333 E. 5th Street, Jamestown, NY, 14701",POINT (-79.236639 42.09895),42.09895,-79.236639
744,Transitional Business Model,Transformed Business Model,"1149 Sullivan Street, Elmira, NY, 14901",POINT (-76.802577 42.109301),42.109301,-76.802577
745,CFTSS: Youth Peer Support and Training (YPST),CFTSS: Youth Peer Support (YPS),"1808 Route 6, Carmel, NY, 10512",POINT (-73.673375 41.418211),41.418211,-73.673375
746,Respite Services,Respite Services,"230 Maple Street, Glens Falls, NY, 12801",POINT (-73.63216 43.312022),43.312022,-73.63216
748,Montefiore Behavioral Health Center at Westchester Square,Clinic Treatment,"2527 Glebe Avenue, Bronx, NY, 10461",POINT (-73.846375 40.840928),40.840928,-73.846375
749,WellLife - HH CM,Health Home Care Management,"209-03 Jamaica Avenue, Jamaica, NY, 11428",POINT (-73.751335 40.714684),40.714684,-73.751335
750,Manhattan Forensic Psychiatry Court Clinic,Advocacy/Support Services,"100 Centre Street, New York, NY, 10013",POINT (-74.00124 40.71634),40.71634,-74.00124
752,Ohel - Tikvah Clinic,Clinic Treatment,"1262-1286 E 14 Street, Brooklyn, NY, 11230",POINT (-73.961073 40.618571),40.618571,-73.961073
753,Home Based Crisis Intervention,Home Based Crisis Intervention,"1 Keuka Business Park, Penn Yan, NY, 14527",POINT (-77.05779 42.654494),42.654494,-77.05779
754,Peer Supp/PSHYCH - Schenectady,Supported Education,"339 Broadway, Menands, NY, 12204",POINT (-73.722509 42.694429),42.694429,-73.722509
757,Living Room Crisis Center,Crisis  Intervention,"327 Elm St., Buffalo, NY, 14203",POINT (-78.867783 42.890136),42.890136,-78.867783
758,CFTSS: Mobile Crisis Intervention (CI),CFTSS: Mobile Crisis Intervention (CI),"115 Liberty St., Bath, NY, 14810",POINT (-77.318121 42.336013),42.336013,-77.318121
760,MH Servs-Erie Co/Spectrum - HH Non- Med CM - Wyoming Co,Health Home Non-Medicaid Care Management,"58 W. Buffalo Street, Warsaw, NY, 14569",POINT (-78.133854 42.74022),42.74022,-78.133854
762,Information and Referral,Advocacy/Support Services,"307-309 Meadow Street, Johnstown, NY, 12095",POINT (-74.377811 43.00205),43.00205,-74.377811
763,Yates Psychosocial Club,Psychosocial Club,"173 Main Street, Penn Yan, NY, 14527",POINT (-77.05521 42.663437),42.663437,-77.05521
764,Brooklyn Center For Psychotherapy Inc.,Clinic Treatment,"300 Flatbush Avenue, Brooklyn, NY, 11217-2812",POINT (-73.973202 40.678193),40.678193,-73.973202
766,Hospital Diversion Program - Orange County,Crisis  Intervention,"441 East Main Street, Middletown, NY, 10940",POINT (-74.390303 41.444091),41.444091,-74.390303
768,Psychiatric Inpatient Unit,State Psychiatric Center Inpatient,"1111 Elmwood Avenue, Rochester, NY, 14620-3005",POINT (-77.609856 43.124938),43.124938,-77.609856
769,Residential Family Peer Support,Family Peer Support Services - Children & Family,"358 St. Marks Place, Staten Island, NY, 10301",POINT (-74.077764 40.641039),40.641039,-74.077764
773,CFTSS: Community Psychiatric Support and Treatment,CFTSS: Community Psychiatric Support and Treatment (CPST),"307 West 38 Street 6th Floor, New York City, NY, 10018",POINT (-73.992325 40.755001),40.755001,-73.992325
776,Family Counseling Services Mental Health Clinic,Clinic Treatment,"165 Main Street, Cortland, NY, 13045-2171",POINT (-76.18003 42.594047),42.594047,-76.18003
777,Geriatric Mental Health Act,Geriatric Demo Physical Health - Mental Health Integration,"234 East 149 Street, Bronx, NY, 10451",POINT (-73.924072 40.817681),40.817681,-73.924072
778,UB Educational Grant,Advocacy/Support Services,"2240 Old Union Road, Cheektowaga, NY, 14227",POINT (-78.75637 42.871069),42.871069,-78.75637
780,Outreach Lifeline,Outreach,"4600 Millennium Drive, Geneseo, NY, 14454",POINT (-77.790421 42.79823),42.79823,-77.790421
782,Health Home Non  Mediciad Care Managment C&Y Orange,Health Home Non-Medicaid Care Management,"53 Gibson Road, Goshen, NY, 10924",POINT (-74.353646 41.38697),41.38697,-74.353646
783,Phelps Memorial Hospital - HHCM,Health Home Care Management,"315 South Highland Avenue, Briarcliff Manor, NY, 10510",POINT (-73.861353 41.142498),41.142498,-73.861353
785,BALANCE Eating Disorder Center Clinic,Clinic Treatment,"18 West 21st Street, New York, NY, 10010-6923",POINT (-73.991893 40.740607),40.740607,-73.991893
786,Transition Management Services,Transition Management Services,"470 Mamaroneck Avenue, White Plains, NY, 10605",POINT (-73.75979 41.022715),41.022715,-73.75979
790,Hamilton County Community Services,Respite Services,"143 White Birch Lane, Indian Lake, NY, 12842-1409",POINT (-74.260096 43.777635),43.777635,-74.260096
791,Representative Payee Program,Advocacy/Support Services,"3390 Route 112, Medford, NY, 11763",POINT (-72.997038 40.845377),40.845377,-72.997038
793,Adult System of Care,Advocacy/Support Services,"567 Exchange Street, Buffalo, NY, 14210",POINT (-78.855401 42.875526),42.875526,-78.855401
794,Ongoing Integrated Supportive Employment,Ongoing Integrated Supported Employment Services,"131 Genesee St, Utica, NY, 13503",POINT (-75.229238 43.102416),43.102416,-75.229238
795,CFTSS Staten Island,CFTSS: Community Psychiatric Support and Treatment (CPST),"1765 South Avenue, New York, NY, 10314",POINT (-74.193675 40.601416),40.601416,-74.193675
797,Postgraduate Center for Mental Health - HH Non - Medicaid CM,Health Home Non-Medicaid Care Management,"158 East 35th Street, New York, NY, 10016",POINT (-73.97822 40.746628),40.746628,-73.97822
798,Glenbervie Health Partial Hospitalization Program,Partial Hospitalization,"205 Lexington Avenue, New York, NY, 10016-6020",POINT (-73.980541 40.745272),40.745272,-73.980541
799,Asian Outreach Program,Advocacy/Support Services,"81-14 Queens Boulevard, Elmhurst, NY, 11373",POINT (-73.881737 40.737401),40.737401,-73.881737
800,Family Court Outreach (formerly pre-admin screening),Outreach,"1200 Old Country Road, Westbury, NY, 11590",POINT (-73.552487 40.753447),40.753447,-73.552487
802,Bronx ACT I,Assertive Community Treatment (ACT),"560 Southern Boulevard, Bronx, NY, 10455-3715",POINT (-73.903125 40.812422),40.812422,-73.903125
803,United Helpers Mental Health Clinic,Clinic Treatment,"221 Hamilton Street, Ogdensburg, NY, 13669-1707",POINT (-75.486602 44.700785),44.700785,-75.486602
804,Allegany Rehabilitation Associates - HH CM,Health Home Care Management,"4220 State Route 417w, Wellsville, NY, 14895",POINT (-77.475333 42.109103),42.109103,-77.475333
805,Metropolitan Hospital Mental Health Center,Inpatient Psychiatric Unit of a General Hospital,"1901 First Avenue, New York, NY, 10029",POINT (-73.943636 40.78472),40.78472,-73.943636
806,Baltic Resource and Wellness Center,Advocacy/Support Services,"882 3rd Avenue, Brooklyn, NY, 11232",POINT (-74.004546 40.657575),40.657575,-74.004546
807,Children's Mobile Crisis,Crisis  Intervention,"91 Guy Lombardo Avenue, Freeport, NY, 11520-3731",POINT (-73.584386 40.653752),40.653752,-73.584386
810,Harlem Hospital Adult Outpatient Clinic,Clinic Treatment,"512 Lenox Avenue, New York, NY, 10037-2420",POINT (-73.940298 40.814751),40.814751,-73.940298
812,Other Licensed Practitioner (OLP),CFTSS: Other Licensed Practitioner (OLP),"86-88 Walnut Avenue, Binghamton, NY, 13905",POINT (-75.923098 42.100935),42.100935,-75.923098
814,Kings County Hospital CPEP,CPEP Crisis Intervention,"410 Winthrop Street, Brooklyn, NY, 11203",POINT (-73.946492 40.65734),40.65734,-73.946492
815,NAC Mental Health Clinic,Clinic Treatment,"37 West 26th Street, New York, NY, 10010-1058",POINT (-73.989899 40.744172),40.744172,-73.989899
816,Compeer - Schenectady County,Advocacy/Support Services,"314 Central Avenue, Albany, NY, 12206",POINT (-73.772929 42.665139),42.665139,-73.772929
820,Child Mental Health Rehabilitation Services,CFTSS: Children's Mental Health Rehabilitation Services,"22 Us Oval, Plattsburgh, NY, 12903-5902",POINT (-73.446889 44.684674),44.684674,-73.446889
823,Psychosocial Rehabilitation,CFTSS: Psychosocial Rehabilitation (PSR),"400 Doansburg Road, Brewster, NY, 10509",POINT (-73.553038 41.453859),41.453859,-73.553038
828,NYP/Columbia U Medical Center Pediatric Psychiatric Clinic,Clinic Treatment,"635 W 165th Street 6th Floor, New York, NY, 10032",POINT (-73.942534 40.839907),40.839907,-73.942534
831,Warren-Washington AMH - HH NonMed CM,Health Home Non-Medicaid Care Management,"230 Maple St., Glens Falls, NY, 12801",POINT (-73.63216 43.312022),43.312022,-73.63216
832,Villa of Hope Behavioral Health Services,Clinic Treatment,"1099 Jay Street, Rochester, NY, 14611-1153",POINT (-77.650727 43.159364),43.159364,-77.650727
834,Elmhurst Partial Hospitalization Program,Partial Hospitalization,"79-01 Broadway, Elmhurst, NY, 11373",POINT (-73.88598 40.74434),40.74434,-73.88598
835,BestSelf Behavioral Health - HH NonMed CM,Health Home Non-Medicaid Care Management,"1050 Niagara Street, Buffalo, NY, 14213",POINT (-78.899823 42.912085),42.912085,-78.899823
837,Lawrence F. Hickey Center,Day Treatment,"4010 Dyre Avenue, Bronx, NY, 10466-2510",POINT (-73.831087 40.89104),40.89104,-73.831087
838,Sullivan County - HH CM,Health Home Care Management,"20 Community Lane, Liberty, NY, 12754-0716",POINT (-74.709537 41.796085),41.796085,-74.709537
839,CDPC - Albany County Clinic Treatment Program,Clinic Treatment,"75 New Scotland Avenue, Albany, NY, 12208-3409",POINT (-73.777893 42.652557),42.652557,-73.777893
840,Children and Youth Support in CPEP,Advocacy/Support Services,"462 Grider St, Buffalo, NY, 14215",POINT (-78.829151 42.927236),42.927236,-78.829151
842,Mobile Transitional Support,Crisis  Intervention,"100 River Rock Drive Suite 300, Buffalo, NY, 14207-2163",POINT (-78.898101 42.946967),42.946967,-78.898101
843,Success PROS,Comprehensive PROS without Clinical Treatment,"405 Locust Avenue, Oakdale, NY, 11769-1651",POINT (-73.111985 40.746766),40.746766,-73.111985
846,Chelton Loft Clubhouse,Psychosocial Club,"104-106 E. 126th St., New York, NY, 10035",POINT (-73.937885 40.805453),40.805453,-73.937885
847,Transportation,Transportation,"6096 Nys Route 9n, Westport, NY, 12993",POINT (-73.428083 44.159161),44.159161,-73.428083
852,Health Home Non-Medicaid Care Management - Seneca,Health Home Non-Medicaid Care Management,"12 N. Park Street, Seneca Falls, NY, 13148",POINT (-76.796175 42.913926),42.913926,-76.796175
853,Psychiatric Inpatient Unit,State Psychiatric Center Inpatient,"2 First Avenue, Orangeburg, NY, 10962",POINT (-73.96979 41.046076),41.046076,-73.96979
855,Safe Transition and Empowerment Project,Non-Medicaid Care Coordination,"200 Varick Street, New York, NY, 10014",POINT (-74.005349 40.728324),40.728324,-74.005349
856,Ongoing Integrated Supported Work,Ongoing Integrated Supported Employment Services,"350 S. Washington Street, Herkimer, NY, 13350-0271",POINT (-74.981595 43.021652),43.021652,-74.981595
857,Family Support- PA,Family Peer Support Services - Children & Family,"737 Madison Avenue, Albany, NY, 12208",POINT (-73.77836 42.658535),42.658535,-73.77836
859,Buckman Center,Clinic Treatment,"998 Crooked Hill Road, West Brentwood, NY, 11717-1019",POINT (-73.286926 40.80409),40.80409,-73.286926
860,RSS - OISE - Delaware County,Ongoing Integrated Supported Employment Services,"132 Delaware Street, Walton, NY, 13856",POINT (-75.129753 42.168109),42.168109,-75.129753
861,Schuyler Achievement Academy - SBMH,School Mental Health Program,"676 Clinton Avenue, Albany, NY, 12206",POINT (-73.774713 42.668539),42.668539,-73.774713
862,Family Advocate Program,Family Peer Support Services - Children & Family,"480 Old Westbury Road, Roslyn Heights, NY, 11577",POINT (-73.632974 40.784157),40.784157,-73.632974
863,Adult Psychiatric Outpatient Clinic Treatment Program,Clinic Treatment,"33 Mitchell Avenue, Binghamton, NY, 13903",POINT (-75.914099 42.086861),42.086861,-75.914099
864,Sullivan county Department of Community Services,Health Home Care Management,"20 Community Lane, Liberty, NY, 12754",POINT (-74.709537 41.796085),41.796085,-74.709537
865,The MH Div./Julia Dyckman Andrus Memorial Peekskill Clinic,Clinic Treatment,"50 Dayton Lane, Peekskill, NY, 10566-2580",POINT (-73.896067 41.2937),41.2937,-73.896067
867,Kingsbrook Jewish Psychiatric Inpatient Unit,Inpatient Psychiatric Unit of a General Hospital,"585 Schenectady Avenue, Brooklyn, NY, 11203-1822",POINT (-73.934072 40.658929),40.658929,-73.934072
870,Lakeview Health Services - HH Non-Med CM - Tompkins,Health Home Non-Medicaid Care Management,"609-611 W. Washington Street, Geneva, NY, 14456",POINT (-77.006885 42.85991),42.85991,-77.006885
873,Social Connection,Drop In Centers,"454 West Church Street, Elmira, NY, 14902-0588",POINT (-76.81636 42.087459),42.087459,-76.81636
875,St. Mary's Healthcare - HH NonMed CM,Health Home Non-Medicaid Care Management,"427 Guy Park Avenue, Amsterdam, NY, 12010",POINT (-74.216041 42.953648),42.953648,-74.216041
876,Transitional Management,Transition Management Services,"1519 Nye Road, Lyons, NY, 14489-9133",POINT (-77.029774 43.061677),43.061677,-77.029774
878,Columbia County HH CM C&Y,Health Home Care Management,"325 Columbia Street, Hudson, NY, 12534",POINT (-73.789459 42.252941),42.252941,-73.789459
881,Health Home Care Management,Health Home Care Management,"400 Forest Avenue, Buffalo, NY, 14213",POINT (-78.883286 42.927823),42.927823,-78.883286
882,Adolescent Skills Center South,Vocational Services - Children & Family (C & F),"975 Kelly Street, Bronx, NY, 10459",POINT (-73.895881 40.82218),40.82218,-73.895881
886,Suicide Prev. Tompkins Co. - Info & Ref.,Advocacy/Support Services,"124 E. Court Street, Ithaca, NY, 14850-4234",POINT (-76.497896 42.442618),42.442618,-76.497896
